date,gross,turnover,cost,net,n_names
2014-01-31,-0.00588467589703009,1.0,0.001,-0.00688467589703009,50
2014-02-28,-0.01782283257087377,0.0,0.0,-0.01782283257087377,50
2014-03-31,-0.01785593322951208,0.4,0.0004,-0.01825593322951208,50
2014-04-30,0.008935253950522014,0.2,0.0002,0.008735253950522014,50
2014-05-31,0.010220048259256221,0.8,0.0008,0.009420048259256221,50
2014-06-30,-0.0037946585491462027,0.6000000000000001,0.0006000000000000001,-0.0043946585491462025,50
2014-07-31,0.01824759082648995,0.6000000000000001,0.0006000000000000001,0.01764759082648995,50
2014-08-31,-0.010475495961793115,0.8,0.0008,-0.011275495961793116,50
2014-09-30,0.018829758809369455,0.2,0.0002,0.018629758809369457,50
2014-10-31,0.0012269013877767463,0.2,0.0002,0.0010269013877767462,50
2014-11-30,0.021956933569087633,0.6,0.0006,0.021356933569087633,50
2014-12-31,0.019162338688352133,0.4,0.0004,0.018762338688352132,50
2015-01-31,0.029946901740300496,0.6,0.0006,0.029346901740300496,50
2015-02-28,-0.00420194835092523,0.6,0.0006,-0.00480194835092523,50
2015-03-31,0.03900957638388848,0.4,0.0004,0.03860957638388848,50
2015-04-30,0.02129114224270856,0.8,0.0008,0.020491142242708562,50
2015-05-31,-0.015254413575599835,1.2,0.0012,-0.016454413575599836,50
2015-06-30,-0.02499182556252896,0.8,0.0008,-0.02579182556252896,50
2015-07-31,0.014450867366828803,0.4,0.0004,0.014050867366828803,50
2015-08-31,-0.030904521816316814,1.2000000000000002,0.0012000000000000001,-0.03210452181631682,50
2015-09-30,0.01910187886137575,0.6,0.0006,0.01850187886137575,50
2015-10-31,-0.0013238874959547345,0.6000000000000001,0.0006000000000000001,-0.0019238874959547345,50
2015-11-30,-0.0030975208081938316,0.6000000000000001,0.0006000000000000001,-0.0036975208081938314,50
2015-12-31,-0.06455201892836084,0.8,0.0008,-0.06535201892836083,50
2016-01-31,0.001643056049930125,0.2,0.0002,0.001443056049930125,50
2016-02-29,0.001970206395786021,0.4,0.0004,0.0015702063957860211,50
2016-03-31,0.04131343295434257,0.4,0.0004,0.04091343295434257,50
2016-04-30,0.023784755526817292,0.4,0.0004,0.02338475552681729,50
2016-05-31,-0.030954835644283876,0.6000000000000001,0.0006000000000000001,-0.03155483564428388,50
2016-06-30,0.025927866097255284,0.4,0.0004,0.025527866097255283,50
2016-07-31,0.021778298163088405,0.8,0.0008,0.020978298163088407,50
2016-08-31,-0.006273525156305195,0.6,0.0006,-0.006873525156305195,50
2016-09-30,0.028693394920950722,0.6,0.0006,0.028093394920950723,50
2016-10-31,0.05271479277386473,0.8,0.0008,0.05191479277386473,50
2016-11-30,-0.019634810219234845,0.6,0.0006,-0.020234810219234844,50
2016-12-31,-0.011794816479534443,0.4,0.0004,-0.012194816479534442,50
2017-01-31,0.001075156763733431,0.8,0.0008,0.0002751567637334309,50
2017-02-28,-0.010789253490534556,0.6000000000000001,0.0006000000000000001,-0.011389253490534556,50
2017-03-31,0.010281255675171533,0.6000000000000001,0.0006000000000000001,0.009681255675171533,50
2017-04-30,-0.013448882939852323,0.2,0.0002,-0.013648882939852324,50
